phiNames, phiPreds, phi0, n_3, n_1, n_2, y_4, y_2, y_1, y_3, y_0, x_3, x_1, x_2, r_2, r_0, r_1, p_2, p_0, p_1, n_0, x_0, gen_bad, n, x, output, incorrect
"[5.677607055913171, 0.7925575272861951]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 5.677607055913171, 5.677607055913171, 5.677607055913171, 0.7925575272861951, 1, 625, 625, 25, 1, 1, 1, True, True, True, 3, 5, True, 3, 5, 5.677607055913171, True
"[821393.4915193615, 19.570435401115102]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 821393.4915193615, 821393.4915193615, 821393.4915193615, 19.570435401115102, 1, 152587890625, 152587890625, 390625, 1, 1, 0, True, True, False, 10, 5, True, 10, 5, 821393.4915193615, True
"[1024, 4]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 1024, 1024, 1024, 4, 1, 65536, 65536, 256, 1, 1, 0, True, True, False, 10, 2, False, 10, 2, 1024, False
"[31619.70956836543, 28.628895080138495]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 31619.70956836543, 31619.70956836543, 31619.70956836543, 28.628895080138495, 1, 1679616, 1679616, 1296, 1, 1, 1, True, True, True, 6, 6, True, 6, 6, 31619.70956836543, True
"[3151.874804048419, 15.840309910498076]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 3151.874804048419, 3151.874804048419, 3151.874804048419, 15.840309910498076, 1, 65536, 65536, 256, 1, 1, 1, True, True, True, 6, 4, True, 6, 4, 3151.874804048419, True
"[24.379576043840615, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 24.379576043840615, 24.379576043840615, 24.379576043840615, 1, 1, 65536, 65536, 256, 1, 1, 0, True, True, False, 4, 4, True, 4, 4, 24.379576043840615, True
"[146148.56591352847, 70.42565882741289]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 146148.56591352847, 146148.56591352847, 146148.56591352847, 70.42565882741289, 1, 43046721, 43046721, 6561, 1, 1, 1, True, True, True, 6, 9, True, 6, 9, 146148.56591352847, True
"[36, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 36, 36, 36, 1, 1, 1296, 1296, 36, 1, 1, 0, True, True, False, 2, 6, False, 2, 6, 36, False
"[1027379.8078055026, 164.28333481359232]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 1027379.8078055026, 1027379.8078055026, 1027379.8078055026, 164.28333481359232, 1, 43046721, 43046721, 6561, 1, 1, 1, True, True, True, 7, 9, True, 7, 9, 1027379.8078055026, True
"[945.4544418228539, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 945.4544418228539, 945.4544418228539, 945.4544418228539, 1, 1, 5764801, 5764801, 2401, 1, 1, 0, True, True, False, 4, 7, True, 4, 7, 945.4544418228539, True
"[3.3962692625598807, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 3.3962692625598807, 3.3962692625598807, 3.3962692625598807, 1, 1, 25, 25, 5, 1, 1, None, True, True, None, 1, 5, True, 1, 5, 3.3962692625598807, True
"[2256607.6729384237, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 2256607.6729384237, 2256607.6729384237, 2256607.6729384237, 1, 1, 33232930569601, 33232930569601, 5764801, 1, 1, 0, True, True, False, 8, 7, True, 8, 7, 2256607.6729384237, True
"[9699.623954849321, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 9699.623954849321, 9699.623954849321, 9699.623954849321, 1, 1, 100000000, 100000000, 10000, 1, 1, 0, True, True, False, 4, 10, True, 4, 10, 9699.623954849321, True
"[8, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 8, 8, 8, 1, 1, 64, 64, 8, 1, 1, None, True, True, None, 1, 8, False, 1, 8, 8, False
"[625, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 625, 625, 625, 1, 1, 390625, 390625, 625, 1, 1, 0, True, True, False, 4, 5, False, 4, 5, 625, False
"[65536, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 65536, 65536, 65536, 1, 1, 4294967296, 4294967296, 65536, 1, 1, 0, True, True, False, 8, 4, False, 8, 4, 65536, False
